kind,id,name,dc_blinkit_internal_city,latitude,longitude,is_active,place_of_supply,assignment_basis,distance_km,supply_site_latitude,supply_site_longitude,pos_active_warehouse_count,pos_inactive_warehouse_count,pos_locality_count,pos_area_km2,pos_km2_per_active_warehouse,pos_area_balance
warehouse,3125280789,RANCHI R2 - FEEDER WAREHOUSE,ranchi,23.3348,85.3125,1,ranchi,site,,23.3348,85.3125,2,6,47,32731,16365,stretched
warehouse,1942521142,SS MOHALI AJIT SINGH NAGAR PC - WAREHOUSE,mohali,30.7028,76.6985,1,mohali,site,,30.7028,76.6985,1,1,62,7121,7121,proportional
warehouse,2946725515,SUPER STORE DASNA 2 - WAREHOUSE,dasna,28.7251,77.5582,1,dasna,site,,28.7251,77.5582,2,2,15,4511,2256,concentrated
warehouse,180908068,SUPER STORE GURGAON G7 ECOM - WAREHOUSE,gurgaon,28.4595,77.0266,1,gurgaon,site,,28.4595,77.0266,1,7,87,898,898,concentrated
warehouse,3239329402,SUPER STORE HYDERABAD H2 - WAREHOUSE,hyderabad,17.385,78.4867,1,hyderabad,site,,17.385,78.4867,3,100,131,39128,13042,proportional
warehouse,3313838791,SUPER STORE LUCKNOW L4 - WAREHOUSE,lucknow,26.7875,80.9923,1,lucknow,site,,26.7875,80.9923,2,7,92,39582,19791,stretched
warehouse,2468542667,SURAT S1 - FEEDER WAREHOUSE,surat,21.1702,72.8311,1,surat,site,,21.1702,72.8311,2,7,30,10654,5327,proportional
warehouse,2868928596,SURAT S2 - FEEDER WAREHOUSE,surat,21.1702,72.8311,1,surat,site,,21.1702,72.8311,2,7,30,10654,5327,proportional
warehouse,2580011593,VARANASI V1 - FEEDER WAREHOUSE,varanasi,25.3176,82.9739,1,varanasi,site,,25.3176,82.9739,2,8,34,18808,9404,proportional
warehouse,4181953234,VARANASI V2 - FEEDER WAREHOUSE,varanasi,25.3176,82.9739,1,varanasi,site,,25.3176,82.9739,2,8,34,18808,9404,proportional
warehouse,1014910730,VIJAYAWADA - FEEDER WAREHOUSE,vijayawada,16.4977,80.6471,1,vijayawada,site,,16.4977,80.6471,1,26,22,21290,21290,stretched
warehouse,378104010,VISAKHAPATNAM V1 - FEEDER WAREHOUSE,visakhapatnam,17.7487,83.2189,1,visakhapatnam,site,,17.7487,83.2189,1,6,20,4779,4779,proportional
warehouse,76857989,RAIPUR - FEEDER WAREHOUSE,raipur,21.2514,81.6296,1,raipur,site,,21.2514,81.6296,1,24,25,11862,11862,proportional
warehouse,2934459213,SS BAREILLY CHANDRA PURAM COLONY ES6,bareilly,28.345,79.4,1,bareilly,site,,28.345,79.4,5,12,28,28118,5624,proportional
warehouse,2532950025,SS BAREILLY DELAPEER ES1,bareilly,28.3519,79.4115,1,bareilly,site,,28.3519,79.4115,5,12,28,28118,5624,proportional
warehouse,3387758142,SS BAREILLY PILIBHIT BYPASS ES4,bareilly,28.372,79.38,1,bareilly,site,,28.372,79.38,5,12,28,28118,5624,proportional
warehouse,3576189794,SS BAREILLY RAMPUR GARDEN ES3,bareilly,28.36,79.425,1,bareilly,site,,28.36,79.425,5,12,28,28118,5624,proportional
warehouse,3177504450,SS BAREILLY SAIDPUR HAWKINS ES5,bareilly,28.3406,79.3932,1,bareilly,site,,28.3406,79.3932,5,12,28,28118,5624,proportional
warehouse,2577479618,SS GANGTOK KRISHI BHAWAN ES1,gangtok,27.334,88.612,1,gangtok,site,,27.334,88.612,1,0,1,38,38,concentrated
warehouse,1382756798,SS GORAKHPUR AIIMS ES5,gorakhpur,26.8182,83.3901,1,gorakhpur,site,,26.8182,83.3901,8,8,13,11378,1422,concentrated
warehouse,159395977,SS GORAKHPUR BAUXIPUR ES1,gorakhpur,26.7485,83.3408,1,gorakhpur,site,,26.7485,83.3408,8,8,13,11378,1422,concentrated
warehouse,3448432012,SS GORAKHPUR BICCHIYA BAZAAR ES7,gorakhpur,26.761,83.3702,1,gorakhpur,site,,26.761,83.3702,8,8,13,11378,1422,concentrated
warehouse,1198257434,SS GORAKHPUR GORAKHNATH ES6,gorakhpur,26.7719,83.3584,1,gorakhpur,site,,26.7719,83.3584,8,8,13,11378,1422,concentrated
warehouse,2586256256,SS GORAKHPUR LOHIYA ENCLAVE ES9,gorakhpur,26.745,83.375,1,gorakhpur,site,,26.745,83.375,8,8,13,11378,1422,concentrated
warehouse,4170577920,SS GORAKHPUR MEDICAL ROAD ES2,gorakhpur,26.76,83.345,1,gorakhpur,site,,26.76,83.345,8,8,13,11378,1422,concentrated
warehouse,823985082,SS GORAKHPUR RAPTINAGAR ES8,gorakhpur,26.7468,83.3598,1,gorakhpur,site,,26.7468,83.3598,8,8,13,11378,1422,concentrated
warehouse,3290038129,SS GORAKHPUR TARAMANDAL ES3,gorakhpur,26.766,83.365,1,gorakhpur,site,,26.766,83.365,8,8,13,11378,1422,concentrated
warehouse,4178983790,SS JAMMU AKHNOOR ROAD ES13,jammu,32.73,74.83,1,jammu,site,,32.73,74.83,13,10,31,14483,1114,concentrated
warehouse,2380046500,SS JAMMU AMBIKA VIHAR ES11,jammu,32.7248,74.8753,1,jammu,site,,32.7248,74.8753,13,10,31,14483,1114,concentrated
warehouse,1853884774,SS JAMMU BARI BRAHMAN ES19,jammu,32.635,74.918,1,jammu,site,,32.635,74.918,13,10,31,14483,1114,concentrated
warehouse,1091122899,SS JAMMU BATHINDI ES8,jammu,32.7012,74.8655,1,jammu,site,,32.7012,74.8655,13,10,31,14483,1114,concentrated
warehouse,3545771784,SS JAMMU BC ROAD ES6,jammu,32.7065,74.8785,1,jammu,site,,32.7065,74.8785,13,10,31,14483,1114,concentrated
warehouse,525789506,SS JAMMU DIGIANA ES7,jammu,32.7156,74.861,1,jammu,site,,32.7156,74.861,13,10,31,14483,1114,concentrated
warehouse,2390734039,SS JAMMU GREATER KAILASH ES5,jammu,32.7216,74.8873,1,jammu,site,,32.7216,74.8873,13,10,31,14483,1114,concentrated
warehouse,3130792947,SS JAMMU KATRA ES16,jammu,32.98,74.93,1,jammu,site,,32.98,74.93,13,10,31,14483,1114,concentrated
warehouse,3483334736,SS JAMMU OLD SATHWARI ES10,jammu,32.7047,74.8467,1,jammu,site,,32.7047,74.8467,13,10,31,14483,1114,concentrated
warehouse,2105493062,SS JAMMU ROOPNAGAR ES2,jammu,32.709,74.893,1,jammu,site,,32.709,74.893,13,10,31,14483,1114,concentrated
warehouse,1500528426,SS JAMMU SAINIK COLONY ES12,jammu,32.7184,74.8956,1,jammu,site,,32.7184,74.8956,13,10,31,14483,1114,concentrated
warehouse,354007586,SS JAMMU SIDHRA ES14,jammu,32.71,74.89,1,jammu,site,,32.71,74.89,13,10,31,14483,1114,concentrated
warehouse,4011526003,SS JAMMU TRIKUTA NAGAR ES1,jammu,32.7266,74.857,1,jammu,site,,32.7266,74.857,13,10,31,14483,1114,concentrated
warehouse,4208144797,SS JHANSI AWAS VIKAS ES4,jhansi,25.4625,78.5665,1,jhansi,site,,25.4625,78.5665,4,15,12,12150,3038,concentrated
warehouse,3760214279,SS JHANSI BUNDELKHAND ES2,jhansi,25.47,78.53,1,jhansi,site,,25.47,78.53,4,15,12,12150,3038,concentrated
warehouse,1353751173,SS JHANSI INDRIPURI ES3,jhansi,25.448,78.558,1,jhansi,site,,25.448,78.558,4,15,12,12150,3038,concentrated
warehouse,2012904721,SS JHANSI KHUSHIPURA ES5,jhansi,25.4582,78.5412,1,jhansi,site,,25.4582,78.5412,4,15,12,12150,3038,concentrated
warehouse,3065262298,SS MANGALURU ATTAVAR ES3,mangalore,12.8698,74.8423,1,mangalore,site,,12.8698,74.8423,4,3,6,2318,579,concentrated
warehouse,656954290,SS MANGALURU DERALAKATTE ES12,mangalore,12.858,74.84,1,mangalore,site,,12.858,74.84,4,3,6,2318,579,concentrated
warehouse,2979828015,SS MANGALURU NORTH KAVOOR ES13,mangalore,12.895,74.837,1,mangalore,site,,12.895,74.837,4,3,6,2318,579,concentrated
warehouse,2060398648,SS MANGALURU NORTHERN SKY PALM ES1,mangalore,12.925,74.805,1,mangalore,site,,12.925,74.805,4,3,6,2318,579,concentrated
warehouse,2881084800,SS MANIPAL VIDYARATNA NAGAR ES1,manipal,13.346,74.787,1,manipal,site,,13.346,74.787,1,2,4,8136,8136,proportional
warehouse,129498957,SS NIZAMABAD KHALEELWADI ES1,nizamabad,18.6742,78.1016,1,nizamabad,site,,18.6742,78.1016,1,2,8,20135,20135,stretched
warehouse,1504458117,SS SILIGURI ASHRAM PARA ES181,siliguri,26.728,88.415,1,siliguri,site,,26.728,88.415,10,4,16,10303,1030,concentrated
warehouse,753338938,SS SILIGURI CHAMPASARI ES183,siliguri,26.755,88.438,1,siliguri,site,,26.755,88.438,10,4,16,10303,1030,concentrated
warehouse,1563465271,SS SILIGURI JUNCTION ES156,siliguri,26.7304,88.4216,1,siliguri,site,,26.7304,88.4216,10,4,16,10303,1030,concentrated
warehouse,749451631,SS SILIGURI JYOTI NAGAR ES206,siliguri,26.735,88.425,1,siliguri,site,,26.735,88.425,10,4,16,10303,1030,concentrated
warehouse,2584210988,SS SILIGURI NETAJI NAGAR ES197,siliguri,26.74,88.42,1,siliguri,site,,26.74,88.42,10,4,16,10303,1030,concentrated
warehouse,3647527406,SS SILIGURI PANCHNAI ES190,siliguri,26.75,88.445,1,siliguri,site,,26.75,88.445,10,4,16,10303,1030,concentrated
warehouse,2216374685,SS SILIGURI SALUGARA ES184,siliguri,26.741,88.41,1,siliguri,site,,26.741,88.41,10,4,16,10303,1030,concentrated
warehouse,3649214614,SS SILIGURI SF ROAD ES161,siliguri,26.7428,88.4345,1,siliguri,site,,26.7428,88.4345,10,4,16,10303,1030,concentrated
warehouse,2175262346,SS SILIGURI SUSHRUTA NAGAR ES196,siliguri,26.732,88.432,1,siliguri,site,,26.732,88.432,10,4,16,10303,1030,concentrated
warehouse,972180962,SS SILIGURI UTTARAYAN ES182,siliguri,26.748,88.425,1,siliguri,site,,26.748,88.425,10,4,16,10303,1030,concentrated
warehouse,1235464121,SS SRINAGAR ML ROAD ES18,srinagar,34.083,74.785,1,srinagar,site,,34.083,74.785,2,0,2,97,48,concentrated
warehouse,3661694516,SS SRINAGAR UNIVERSITY OF KASHMIR ES22,srinagar,34.127,74.837,1,srinagar,site,,34.127,74.837,2,0,2,97,48,concentrated
warehouse,2271590500,SS TRIVANDRUM KAZHAKOOTAM ES9,trivandrum,8.568,76.879,1,trivandrum,site,,8.568,76.879,6,2,8,3071,512,concentrated
warehouse,1187978290,SS TRIVANDRUM KOWDIAR ES5,trivandrum,8.5204,76.9722,1,trivandrum,site,,8.5204,76.9722,6,2,8,3071,512,concentrated
warehouse,3098520485,SS TRIVANDRUM KULATHOOR ES14,trivandrum,8.5,76.97,1,trivandrum,site,,8.5,76.97,6,2,8,3071,512,concentrated
warehouse,4212153376,SS TRIVANDRUM KUMARAPURAM ES10,trivandrum,8.506,76.947,1,trivandrum,site,,8.506,76.947,6,2,8,3071,512,concentrated
warehouse,1348665485,SS TRIVANDRUM SASTHAMANGALAM ES12,trivandrum,8.518,76.945,1,trivandrum,site,,8.518,76.945,6,2,8,3071,512,concentrated
warehouse,2241066258,SS TRIVANDRUM VAZHUTHACAUD ES7,trivandrum,8.5064,76.9536,1,trivandrum,site,,8.5064,76.9536,6,2,8,3071,512,concentrated
warehouse,3190168455,SS UDUPI UB SQUARE ES1,udupi,13.345,74.745,1,udupi,site,,13.345,74.745,1,2,1,45,45,concentrated
warehouse,2945510946,AHMEDABAD A2 - FEEDER,ahmedabad,23.0215374,72.5800568,0,ahmedabad,label,30.72,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,1121681666,AMD IM3,ahmedabad,23.0215374,72.5800568,0,ahmedabad,label,30.72,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,247213239,AMD TEMP2,ahmedabad,23.0215374,72.5800568,0,ahmedabad,label,30.72,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,3915311542,BENGALURU B3,bengaluru,12.9767936,77.590082,0,bengaluru,label,24.74,13.082,77.7913,3,59,220,52882,17627,stretched
warehouse,1362634205,BENGALURU B4,bengaluru,12.9767936,77.590082,0,bengaluru,label,24.74,13.082,77.7913,3,59,220,52882,17627,stretched
warehouse,1258812324,BENGALURU B5 - FEEDER,bengaluru,12.9767936,77.590082,0,bengaluru,label,24.74,13.082,77.7913,3,59,220,52882,17627,stretched
warehouse,845130483,BHOPAL B1 - FEEDER,bhopal,23.2584857,77.401989,0,bhopal,label,1.1,23.2599,77.4126,1,2,28,8294,8294,proportional
warehouse,2531824570,BHUBANESWAR B1 - FEEDER,bhubaneswar,20.2602964,85.8394521,0,bhubaneswar,label,14.53,20.2765,85.7012,1,1,20,5276,5276,proportional
warehouse,398980501,BULK PERISHABLE - BENGALURU DODDABANALLI PC2,bengaluru,12.9767936,77.590082,0,bengaluru,label,24.74,13.082,77.7913,3,59,220,52882,17627,stretched
warehouse,352696006,BULK PERISHABLE - DELHI BUDHPUR PC2,budhpur,28.7836683,77.1385885,0,kundli,city-nearest,26.55,29.0048,77.0358,1,4,20,7830,7830,proportional
warehouse,1756425987,CC-DTS-CHITEGAON1,aurangabad (maharashtra),19.8597998,75.3114008,0,pune,city-nearest,207.8,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,2444295502,CHENNAI C4 - FEEDER,chennai,13.0836939,80.270186,0,chennai,label,0.12,13.0827,80.2707,3,13,98,33883,11294,proportional
warehouse,2998000092,CHENNAI C5 - FEEDER,chennai,13.0836939,80.270186,0,chennai,label,0.12,13.0827,80.2707,3,13,98,33883,11294,proportional
warehouse,4135857984,CHN ECOM,chennai,13.0836939,80.270186,0,chennai,label,0.12,13.0827,80.2707,3,13,98,33883,11294,proportional
warehouse,1626565376,COIMBATORE C1 - FEEDER,coimbatore,11.0018115,76.9628425,0,coimbatore,label,8.79,10.9795,77.0401,1,9,46,40154,40154,stretched
warehouse,890385599,CP - JAMMU GREATER KAILASH (HP),jammu,32.7185614,74.8580917,0,jammu,label,0.43,32.7156,74.861,13,10,31,14483,1114,concentrated
warehouse,3195285671,CPC -  BHUJ CITY MALL (HP),bhuj,23.2472446,69.668339,0,ahmedabad,city-nearest,272.45,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,243716087,CPC -  DEHRADUN PREM NAGAR (HP),dehradun,30.3255646,78.0436813,0,dehradun,label,1.49,30.3165,78.0322,1,43,47,6372,6372,proportional
warehouse,3306368439,CPC -  JAMMU BATHINDI (HP),jammu,32.7185614,74.8580917,0,jammu,label,0.43,32.7156,74.861,13,10,31,14483,1114,concentrated
warehouse,4242053574,CPC -  JUNAGADH SONVATIKA(HP),junagadh,21.5220416,70.4582458,0,ahmedabad,city-nearest,244.86,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,131250504,CPC -  NAGPUR MANISH NAGAR (HP),nagpur,21.1498134,79.0820556,0,nagpur,label,33.91,21.2912,78.7922,1,17,37,23108,23108,stretched
warehouse,3237043763,CPC -  NASHIK SONAWANE (HP),nashik,20.0112475,73.7902364,0,mumbai,city-nearest,114.83,19.2433,73.0572,3,13,189,9344,3115,concentrated
warehouse,2188762894,CPC -  UDUPI UB SQUARE (HP),udupi,13.5269784,74.8731879,0,udupi,label,24.53,13.345,74.745,1,2,1,45,45,concentrated
warehouse,2248034001,CPC - AGRA DAYAL BAGH (HP),agra,27.1752554,78.0098161,0,faridabad,city-nearest,153.14,28.4089,77.3178,1,7,53,10208,10208,proportional
warehouse,458177689,CPC - AGRA INDRAPURI (HP),agra,27.1752554,78.0098161,0,faridabad,city-nearest,153.14,28.4089,77.3178,1,7,53,10208,10208,proportional
warehouse,123918303,CPC - AGRA RAM NAGAR (HP),agra,27.1752554,78.0098161,0,faridabad,city-nearest,153.14,28.4089,77.3178,1,7,53,10208,10208,proportional
warehouse,1870905915,CPC - AGRA SIKANDRA (HP),agra,27.1752554,78.0098161,0,faridabad,city-nearest,153.14,28.4089,77.3178,1,7,53,10208,10208,proportional
warehouse,850541571,CPC - AGRA UMA KUNJ ES9 (HP),agra,27.1752554,78.0098161,0,faridabad,city-nearest,153.14,28.4089,77.3178,1,7,53,10208,10208,proportional
warehouse,920297941,CPC - AHMEDABAD1 (HP),ahmedabad,23.0215374,72.5800568,0,ahmedabad,label,30.72,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,917348218,CPC - AHMEDABAD2 (HP),ahmedabad,23.0215374,72.5800568,0,ahmedabad,label,30.72,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,587390776,CPC - AHMEDNAGAR SAVEDI(HP),ahmednagar,19.092952,74.7493451,0,pune,city-nearest,111.9,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,1441424494,CPC - AKOLA CIVIL LINE (HP),akola,20.7618122,77.1921157,0,nagpur,city-nearest,176.2,21.2912,78.7922,1,17,37,23108,23108,stretched
warehouse,87283739,CPC - AURANGABAD HARSOOL (HP),aurangabad (maharashtra),19.8597998,75.3114008,0,pune,city-nearest,207.8,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,1297572755,CPC - AURANGABAD OSMANPURA (HP),aurangabad (maharashtra),19.8597998,75.3114008,0,pune,city-nearest,207.8,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,1015501828,CPC - AURANGABAD TOWN CENTER CIDCO (HP),aurangabad (maharashtra),19.8597998,75.3114008,0,pune,city-nearest,207.8,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,653414501,CPC - AURANGABAD TOWN CENTER CIDCO(HP),aurangabad (maharashtra),19.8597998,75.3114008,0,pune,city-nearest,207.8,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,3778140276,CPC - AURANGABAD VIJAYANT NAGAR (HP),aurangabad (maharashtra),19.8597998,75.3114008,0,pune,city-nearest,207.8,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,2195194978,CPC - AURANGABAD VIJAYANT NAGAR(HP),aurangabad (maharashtra),19.8597998,75.3114008,0,pune,city-nearest,207.8,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,488495201,CPC - BAREILLY DELAPEER (HP),bareilly,28.4582345,79.4047452,0,bareilly,label,9.89,28.372,79.38,5,12,28,28118,5624,proportional
warehouse,3858851637,CPC - BAREILLY PILIBHIT BYPASS (HP),bareilly,28.4582345,79.4047452,0,bareilly,label,9.89,28.372,79.38,5,12,28,28118,5624,proportional
warehouse,836899477,CPC - BAREILLY RAMPUR GARDEN (HP),bareilly,28.4582345,79.4047452,0,bareilly,label,9.89,28.372,79.38,5,12,28,28118,5624,proportional
warehouse,1355797063,CPC - BAREILLY SAIDPUR HAWKINS (HP),bareilly,28.4582345,79.4047452,0,bareilly,label,9.89,28.372,79.38,5,12,28,28118,5624,proportional
warehouse,2410264462,CPC - BENGALURU7 (HP),bengaluru,12.9767936,77.590082,0,bengaluru,label,24.74,13.082,77.7913,3,59,220,52882,17627,stretched
warehouse,1837432240,CPC - BHUJ CITY MALL (HP),bhuj,23.2472446,69.668339,0,ahmedabad,city-nearest,272.45,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,2686308519,CPC - BIDAR DEVI NAGAR (HP),bidar,18.0207297,77.2487204,0,nizamabad,city-nearest,115.68,18.6742,78.1016,1,2,8,20135,20135,stretched
warehouse,3255261429,CPC - BIJAPUR GURUKUL ROAD (HP),bijapur,16.814415,75.8933856,0,goa,city-nearest,253.24,15.2993,74.124,2,35,34,17782,8891,proportional
warehouse,3502443871,CPC - CHENNAI2 (HP),chennai,13.0836939,80.270186,0,chennai,label,0.12,13.0827,80.2707,3,13,98,33883,11294,proportional
warehouse,714622047,CPC - COIMBATORE SAIBABA COLONY (HP),coimbatore,11.0018115,76.9628425,0,coimbatore,label,8.79,10.9795,77.0401,1,9,46,40154,40154,stretched
warehouse,51303155,CPC - COIMBATORE1 (HP),coimbatore,11.0018115,76.9628425,0,coimbatore,label,8.79,10.9795,77.0401,1,9,46,40154,40154,stretched
warehouse,3598917106,CPC - DEHRADUN CANAL ROAD (HP),dehradun,30.3255646,78.0436813,0,dehradun,label,1.49,30.3165,78.0322,1,43,47,6372,6372,proportional
